Country Name,Country Code,Series Name,Series Code,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Belarus,BLR,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Immunization,5.51.01.04.immun,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,Income poverty,5.51.01.01.poverty,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Maternal health,5.51.01.06.matern,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,10,10,20,20,20,20,20,20,20,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Belarus,BLR,National accounts base year,2.01.01.02.nabase,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,National immunization coverage,5.13.01.01.who,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Overall Average,IQ.SCI.OVRL,38.8889,44.4444333333333,48.8889,52.2222333333333,52.2222333333333,52.2222333333333,53.3333333333333,53.3333333333333,53.3333333333333,80,83.3333333333333,80,83.3333333333333,83.3333333333333,84.4444444444444,85.5555555555555,85.5555555555555,86.6666666666667,86.6666666666667,87.7777777777778,87.7777666666667,87.7777666666667,87.7777666666667,81.1111,86.6666666666667
Belarus,BLR,Per capita GDP growth,5.51.01.10.gdp,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,56.6667,63.3333,66.6667,76.6667,76.6667,76.6667,80,80,80,80,80,80,80,80,83.33333,86.66667,86.66667,90,90,93.3333333333333,93.3333,93.3333,93.3333,93.3333,90
Belarus,BLR,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Poverty survey,5.14.01.01.povsurv,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Primary completion,5.51.01.08.primcomp,0.66667,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,60,60,60,60,60,60,60,60,80,80,70,80,80,80,80,80,80,80,80,80,80,80,60,80
Belarus,BLR,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,UNESCO reporting,5.12.01.01.unesco,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Statistical Capacity Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
